N,N_pos,N_neg,ratio,disc_pos,disc_neg,a,b,ab_squared,delta_BA_true,reject_rate,reject_se,z_mean,z_std,var_BA_mean,delta_BA_mean,delta_BA_std,n_sim,part,part_name,type,effect_type,expected_disc_count,N_minority
50,25,25,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.06068,0.0010676885088826236,0.0028051634212692333,1.0419972721669812,0.00959760192,0.0002636000000000001,0.0999660868246827,50000,1,Ratio_Type1,Type1,ratio=1.0,,
50,17,33,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0654,0.0011056476834869235,0.004855481992050999,1.0574900073214981,0.01058862518453588,0.0004931550802139039,0.10540919865752045,50000,1,Ratio_Type1,Type1,ratio=0.5,,
50,12,38,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.07594,0.0011846781537616028,0.002560357964460402,1.1027629633617215,0.012751539570795738,0.0002170614035087719,0.11758161099552947,50000,1,Ratio_Type1,Type1,ratio=0.3,,
50,8,42,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.0962,0.0013186778226693585,0.014012731160454088,1.1830603839360105,0.01655667500978566,0.001626309523809524,0.13642497590827396,50000,1,Ratio_Type1,Type1,ratio=0.2,,
50,5,45,0.1,0.5,0.5,0.0,0.0,0.0,0.0,0.13168,0.0015122194126514841,-0.005409031766963534,1.3661227313604993,0.022754887791495194,-0.000514888888888889,0.16604412346968145,50000,1,Ratio_Type1,Type1,ratio=0.1,,
100,50,50,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.05382,0.0010091918311203277,-0.006197264378380406,1.0170235331520057,0.00489378336,-0.00041040000000000006,0.07042257856568446,50000,1,Ratio_Type1,Type1,ratio=1.0,,
100,33,67,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.05902,0.001053913085600516,-0.003099738051719436,1.0313469864878622,0.005509969374462729,-0.0002243012211668929,0.07536945515754104,50000,1,Ratio_Type1,Type1,ratio=0.5,,
100,23,77,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.06212,0.0010794545437395684,0.003391480387853371,1.0483966617131184,0.006805933739208292,0.00019636928289102197,0.08398878242195838,50000,1,Ratio_Type1,Type1,ratio=0.3,,
100,17,83,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.06998,0.0011409013945122514,-0.003612657596723402,1.0769968907959002,0.008432327265671417,-0.00029371367824238107,0.09445181783941267,50000,1,Ratio_Type1,Type1,ratio=0.2,,
100,9,91,0.1,0.5,0.5,0.0,0.0,0.0,0.0,0.097,0.0013235633721133265,0.000616632304514104,1.1837308448773074,0.013688005841574518,-4.737484737484765e-06,0.12351662609295037,50000,1,Ratio_Type1,Type1,ratio=0.1,,
200,100,100,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.05382,0.0010091918311203277,0.0015579890155721955,1.009645021030986,0.0024762785250000002,7.529999999999995e-05,0.05000059829552042,50000,1,Ratio_Type1,Type1,ratio=1.0,,
200,67,133,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.05272,0.0009994058394866422,0.004863547195594706,1.0157047282157894,0.0027703987050050416,0.0002714128605094827,0.05305125102408412,50000,1,Ratio_Type1,Type1,ratio=0.5,,
200,46,154,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.05484,0.0010181608360175715,0.005172810338418379,1.02005905222035,0.0034629349304612913,0.0003292941840767927,0.059220012687040434,50000,1,Ratio_Type1,Type1,ratio=0.3,,
200,33,167,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.0604,0.0010653810585888976,0.0043901167989916345,1.0378255084015984,0.004422558752189824,0.0002840990745781166,0.06740624971734041,50000,1,Ratio_Type1,Type1,ratio=0.2,,
200,18,182,0.1,0.5,0.5,0.0,0.0,0.0,0.0,0.07194,0.0011555486696803385,0.0012098105407152041,1.0831667154332936,0.0072553256803833755,6.210012210012198e-05,0.0877010800823632,50000,1,Ratio_Type1,Type1,ratio=0.1,,
500,250,250,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0535,0.0010063572924165652,0.007830135897260298,1.0104212983079184,0.00099610426048,0.00024512000000000004,0.03182347178083497,50000,1,Ratio_Type1,Type1,ratio=1.0,,
500,167,333,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.05202,0.0009931154978148312,-0.0005377940109457788,1.0089728756943015,0.0011183244566447849,-1.5956375537213798e-05,0.033643677434622946,50000,1,Ratio_Type1,Type1,ratio=0.5,,
500,115,385,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.05326,0.0010042247995344469,-0.004429452406076921,1.0099219885760078,0.0014008343551758326,-0.00016040880858272168,0.03759038752058764,50000,1,Ratio_Type1,Type1,ratio=0.3,,
500,83,417,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.05286,0.0010006579875262076,-0.0028309995162991244,1.0109133959312897,0.0017862127882645018,-0.00011806939990176536,0.04235586481950936,50000,1,Ratio_Type1,Type1,ratio=0.2,,
500,45,455,0.1,0.5,0.5,0.0,0.0,0.0,0.0,0.0587,0.0010512308024406439,0.003616288163093393,1.0331040661197906,0.0029894677381357634,0.0002069010989010989,0.05543283799094171,50000,1,Ratio_Type1,Type1,ratio=0.1,,
1000,500,500,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0498,0.0009728305093899965,-0.0029725118231126828,1.000777057322615,0.0004990484188800001,-6.508000000000001e-05,0.02233357930546736,50000,1,Ratio_Type1,Type1,ratio=1.0,,
1000,333,667,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.05032,0.0009776287393484298,-0.0020466884516661473,0.9993743101156588,0.0005613598382108552,-4.453268861064965e-05,0.023637765950961863,50000,1,Ratio_Type1,Type1,ratio=0.5,,
1000,231,769,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.05138,0.0009873205720534745,-0.004763245146309821,1.0043298232965372,0.0007013820523054151,-0.00012191618957548734,0.026525236493154088,50000,1,Ratio_Type1,Type1,ratio=0.3,,
1000,167,833,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.0514,0.0009875023037947811,-0.0019215012908586411,1.007693777613264,0.0008942069547001363,-5.467137753304916e-05,0.030002152047073533,50000,1,Ratio_Type1,Type1,ratio=0.2,,
1000,91,909,0.1,0.5,0.5,0.0,0.0,0.0,0.0,0.0529,0.0010010153844971616,0.0014867033519393618,1.0098700616966974,0.0014951300901286818,6.481364619978478e-05,0.038685314911357,50000,1,Ratio_Type1,Type1,ratio=0.1,,
2000,1000,1000,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.05062,0.0009803837575153925,0.006609793185469204,1.0015372319742788,0.00024976012832999997,0.00010513999999999997,0.015819560536892294,50000,1,Ratio_Type1,Type1,ratio=1.0,,
2000,667,1333,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.05002,0.0009748640889888191,0.003475432299064705,0.9995132224821074,0.00028079675170334485,5.8778037837795246e-05,0.01673292741327766,50000,1,Ratio_Type1,Type1,ratio=0.5,,
2000,462,1538,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.0501,0.0009756022755201014,-0.005839349966440911,1.0011999679639623,0.0003512497354995729,-0.00010741560130376778,0.01874201459190105,50000,1,Ratio_Type1,Type1,ratio=0.3,,
2000,333,1667,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.05012,0.0009757867144002321,0.004605236141611634,0.9985982905904742,0.0004490988654259434,0.00010218091516831766,0.021114844247272824,50000,1,Ratio_Type1,Type1,ratio=0.2,,
2000,182,1818,0.1,0.5,0.5,0.0,0.0,0.0,0.0,0.05222,0.0009949178016298633,-0.0005262250908212721,1.0066747514773013,0.000751949403023767,-9.248600684244214e-06,0.02747955908062828,50000,1,Ratio_Type1,Type1,ratio=0.1,,
5000,2500,2500,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.05016,0.0009761554630283027,-0.006397315426072315,1.0032555199419366,9.996451010464001e-05,-6.378e-05,0.010028487030035987,50000,1,Ratio_Type1,Type1,ratio=1.0,,
5000,1667,3333,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.05038,0.0009781805109487717,-0.00488658851086103,1.0047428855189964,0.00011243146202225634,-5.2158522390931345e-05,0.010649640591257434,50000,1,Ratio_Type1,Type1,ratio=0.5,,
5000,1154,3846,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.05196,0.0009925740113462572,0.0008488760170415282,1.0031915310398403,0.00014071396924833512,9.667087550053118e-06,0.011893092626616725,50000,1,Ratio_Type1,Type1,ratio=0.3,,
5000,833,4167,0.2,0.5,0.5,0.0,0.0,0.0,0.0,0.05082,0.0009822151251126202,-0.006536788239444394,1.0043185721291548,0.00017990676485092163,-8.780720639587727e-05,0.013461821311196177,50000,1,Ratio_Type1,Type1,ratio=0.2,,
5000,455,4545,0.1,0.5,0.5,0.0,0.0,0.0,0.0,0.0512,0.000985683113378737,0.005251136290120903,1.0070600714670777,0.00030166102814271597,9.199231131904401e-05,0.017458090526474766,50000,1,Ratio_Type1,Type1,ratio=0.1,,
30,15,15,1.0,0.25,0.25,0.0,-0.0,0.0,0.0,0.07226,0.0011579161662227538,-0.005414536178034332,1.0741251134399683,0.007779906964752843,-0.0004346666666666667,0.09164781599143539,50000,2,Expected_Disc_Count,Type1,disc_0.25,3.75,
30,15,15,1.0,0.3,0.3,0.0,-0.0,0.0,0.0,0.07206,0.001156437256404341,0.005974413000770287,1.0697524646665793,0.009331054814814815,0.0006800000000000002,0.09977009037448714,50000,2,Expected_Disc_Count,Type1,disc_0.3,4.5,
30,15,15,1.0,0.35,0.35,0.0,-0.0,0.0,0.0,0.07092,0.0011479577831958803,0.006100890597907178,1.07573818243975,0.010865887407407408,0.000566,0.10806053694110539,50000,2,Expected_Disc_Count,Type1,disc_0.35,5.25,
30,15,15,1.0,0.4,0.4,0.0,-0.0,0.0,0.0,0.06756,0.0011224584304106767,0.005506067531095864,1.07230952443555,0.012443552592592593,0.0005933333333333334,0.11540500258750583,50000,2,Expected_Disc_Count,Type1,disc_0.4,6.0,
30,15,15,1.0,0.45,0.45,0.0,-0.0,0.0,0.0,0.06726,0.0011201436729277186,0.00098048473768314,1.0741908112078653,0.014013866666666666,0.00018000000000000007,0.12233547155261225,50000,2,Expected_Disc_Count,Type1,disc_0.45,6.75,
30,15,15,1.0,0.5,0.5,0.0,-0.0,0.0,0.0,0.0653,0.001104861167749143,-0.009684808799688934,1.0667398290409058,0.015576056296296294,-0.0011466666666666667,0.12824688274314247,50000,2,Expected_Disc_Count,Type1,disc_0.5,7.5,
40,20,20,1.0,0.25,0.25,0.0,-0.0,0.0,0.0,0.0717,0.0011537686943230865,-0.002089132642476753,1.0556464642086527,0.005931331126622532,-0.00015899999999999996,0.07927972451390078,50000,2,Expected_Disc_Count,Type1,disc_0.25,5.0,
40,20,20,1.0,0.3,0.3,0.0,-0.0,0.0,0.0,0.0694,0.0011365178397192012,-0.0023412314026612507,1.0581951315406697,0.007112695,-0.00014199999999999996,0.08690601150668462,50000,2,Expected_Disc_Count,Type1,disc_0.3,6.0,
40,20,20,1.0,0.35,0.35,0.0,-0.0,0.0,0.0,0.06588,0.001109412687866873,-0.0003844781785686355,1.0512676161677499,0.0083223225,-0.00010899999999999997,0.09333883499915777,50000,2,Expected_Disc_Count,Type1,disc_0.35,7.0,
40,20,20,1.0,0.4,0.4,0.0,-0.0,0.0,0.0,0.06684,0.0011168922454740206,0.001073801064788419,1.0556446841074454,0.009491238124999997,6.04999999999999e-05,0.10009300095286383,50000,2,Expected_Disc_Count,Type1,disc_0.4,8.0,
40,20,20,1.0,0.45,0.45,0.0,-0.0,0.0,0.0,0.06552,0.0011065905258947411,-0.008829678305177262,1.0534204359803363,0.010700514374999998,-0.0008794999999999999,0.10609118238454128,50000,2,Expected_Disc_Count,Type1,disc_0.45,9.0,
40,20,20,1.0,0.5,0.5,0.0,-0.0,0.0,0.0,0.06698,0.001117977455944439,0.0030206869199213052,1.0557808581721422,0.011880300625,0.0003245,0.11188658185747744,50000,2,Expected_Disc_Count,Type1,disc_0.5,10.0,
50,25,25,1.0,0.25,0.25,0.0,-0.0,0.0,0.0,0.06606,0.0011108202050737104,0.0030806651613198358,1.0435659852156383,0.00480281344,0.00012759999999999996,0.07079440456872281,50000,2,Expected_Disc_Count,Type1,disc_0.25,6.25,
50,25,25,1.0,0.3,0.3,0.0,-0.0,0.0,0.0,0.0647,0.0011001264472777664,0.004035599212148014,1.043141922763052,0.005769999359999999,0.0002075999999999999,0.07752262187413426,50000,2,Expected_Disc_Count,Type1,disc_0.3,7.5,
50,25,25,1.0,0.35,0.35,0.0,-0.0,0.0,0.0,0.0619,0.0010776677595622872,-0.003944935982280765,1.0424948470112547,0.00672178304,-0.0002688000000000001,0.08350630962124958,50000,2,Expected_Disc_Count,Type1,disc_0.35,8.75,
50,25,25,1.0,0.4,0.4,0.0,-0.0,0.0,0.0,0.06076,0.0010683465954455043,-0.0019360550687517923,1.0418087138641123,0.00767807552,-0.00014960000000000003,0.08941280456310494,50000,2,Expected_Disc_Count,Type1,disc_0.4,10.0,
50,25,25,1.0,0.45,0.45,0.0,-0.0,0.0,0.0,0.05964,0.0010590851750449535,-0.008169171808003353,1.0385325144306918,0.008643380479999999,-0.0007364,0.09455280913352074,50000,2,Expected_Disc_Count,Type1,disc_0.45,11.25,
50,25,25,1.0,0.5,0.5,0.0,-0.0,0.0,0.0,0.06128,0.001072611407733481,-0.005179955577063789,1.0449128839881423,0.00959117568,-0.0004792,0.10018611863606655,50000,2,Expected_Disc_Count,Type1,disc_0.5,12.5,
60,30,30,1.0,0.25,0.25,0.0,-0.0,0.0,0.0,0.05978,0.001060248570854967,0.0015194558751008974,1.0367966816422685,0.00402943,8.600000000000003e-05,0.06467666025528666,50000,2,Expected_Disc_Count,Type1,disc_0.25,7.5,
60,30,30,1.0,0.3,0.3,0.0,-0.0,0.0,0.0,0.05808,0.0010460087341891558,-0.0061492591613797115,1.0336848071096352,0.004831987777777777,-0.00043466666666666675,0.0706240434224304,50000,2,Expected_Disc_Count,Type1,disc_0.3,9.0,
60,30,30,1.0,0.35,0.35,0.0,-0.0,0.0,0.0,0.05546,0.0010235642471286305,0.0030972172752474613,1.0331094355186785,0.005644422037037037,0.00026300000000000005,0.07620763120070208,50000,2,Expected_Disc_Count,Type1,disc_0.35,10.5,
60,30,30,1.0,0.4,0.4,0.0,-0.0,0.0,0.0,0.05732,0.0010395616152975252,-0.0008311263003716553,1.0345086206238294,0.006440787777777778,-1.3333333333333357e-05,0.0815781141674108,50000,2,Expected_Disc_Count,Type1,disc_0.4,12.0,
60,30,30,1.0,0.45,0.45,0.0,-0.0,0.0,0.0,0.05718,0.0010383684086103543,-0.00023244023671665964,1.0348313523448351,0.007253046481481482,-1.5666666666666694e-05,0.08659538593751209,50000,2,Expected_Disc_Count,Type1,disc_0.45,13.5,
60,30,30,1.0,0.5,0.5,0.0,-0.0,0.0,0.0,0.05824,0.0010473595600365712,0.003117296038108797,1.0387514322308375,0.00805566351851852,0.00024299999999999984,0.09165722288262697,50000,2,Expected_Disc_Count,Type1,disc_0.5,15.0,
75,38,37,1.0,0.25,0.25,0.0,-0.0,0.0,0.0,0.05608,0.00102893181115174,9.522255648928506e-05,1.0249006336151008,0.0032404729056588455,4.586770981507824e-05,0.05756137930146561,50000,2,Expected_Disc_Count,Type1,disc_0.25,9.375,
75,38,37,1.0,0.3,0.3,0.0,-0.0,0.0,0.0,0.0547,0.0010169356911820923,-0.00347788751453352,1.0260827412070144,0.0038967411393053776,-0.0001685988620199147,0.06326413696343877,50000,2,Expected_Disc_Count,Type1,disc_0.3,11.25,
75,38,37,1.0,0.35,0.35,0.0,-0.0,0.0,0.0,0.05678,0.001034949579448197,0.0050651340246278785,1.0315867524518754,0.004539092410787517,0.00034139402560455175,0.06858648673445042,50000,2,Expected_Disc_Count,Type1,disc_0.35,13.125,
75,38,37,1.0,0.4,0.4,0.0,-0.0,0.0,0.0,0.05758,0.0010417729464715427,0.0020074993578848297,1.027858419619382,0.005194081272334945,0.00014845661450924613,0.0730744432204583,50000,2,Expected_Disc_Count,Type1,disc_0.4,15.0,
75,38,37,1.0,0.45,0.45,0.0,-0.0,0.0,0.0,0.05748,0.0010409231441369723,0.000866330002872431,1.029899587739344,0.005835858647272698,8.124466571835003e-05,0.07759226931306934,50000,2,Expected_Disc_Count,Type1,disc_0.45,16.875,
75,38,37,1.0,0.5,0.5,0.0,-0.0,0.0,0.0,0.05584,0.0010268582609104335,-0.0038258582704338425,1.0257804833097117,0.006493621968765642,-0.00034067567567567565,0.08150298805839706,50000,2,Expected_Disc_Count,Type1,disc_0.5,18.75,
100,50,50,1.0,0.25,0.25,0.0,-0.0,0.0,0.0,0.05408,0.001011487554050963,-0.00033980840929655995,1.0227522536944613,0.0024508589200000004,-8.600000000000074e-06,0.05013463798652584,50000,2,Expected_Disc_Count,Type1,disc_0.25,12.5,
100,50,50,1.0,0.3,0.3,0.0,-0.0,0.0,0.0,0.0533,0.0010045806090105463,-0.004444024947484234,1.0172794767532098,0.00294022984,-0.00022280000000000008,0.05459943552968291,50000,2,Expected_Disc_Count,Type1,disc_0.3,15.0,
100,50,50,1.0,0.35,0.35,0.0,-0.0,0.0,0.0,0.05144,0.0009878656426862917,-0.003844533406008083,1.0097736879037758,0.00343227636,-0.00020419999999999987,0.058585188421306625,50000,2,Expected_Disc_Count,Type1,disc_0.35,17.5,
100,50,50,1.0,0.4,0.4,0.0,-0.0,0.0,0.0,0.05342,0.001005647091180599,-0.0036836118974213285,1.021585339661803,0.00391714312,-0.00023080000000000008,0.06328581777428495,50000,2,Expected_Disc_Count,Type1,disc_0.4,20.0,
100,50,50,1.0,0.45,0.45,0.0,-0.0,0.0,0.0,0.0552,0.0010213026975387856,-0.003119310361612479,1.0198491868153055,0.00441271816,-0.00022359999999999993,0.06699917912213553,50000,2,Expected_Disc_Count,Type1,disc_0.45,22.5,
100,50,50,1.0,0.5,0.5,0.0,-0.0,0.0,0.0,0.05556,0.0010244323930840922,0.0002899796776430804,1.021338546991269,0.00489891004,2.0999999999999877e-05,0.07072652655828647,50000,2,Expected_Disc_Count,Type1,disc_0.5,25.0,
125,62,63,1.0,0.25,0.25,0.0,-0.0,0.0,0.0,0.05332,0.0010047584545551235,0.0017111490924487972,1.016540441072879,0.0019679177820128542,0.0001101126472094213,0.04472232102404404,50000,2,Expected_Disc_Count,Type1,disc_0.25,15.625,
125,62,63,1.0,0.3,0.3,0.0,-0.0,0.0,0.0,0.05354,0.001006712157471042,-0.010119952294114118,1.0130914461404459,0.0023613168604960854,-0.0004869278033794162,0.04880947193763335,50000,2,Expected_Disc_Count,Type1,disc_0.3,18.75,
125,62,63,1.0,0.35,0.35,0.0,-0.0,0.0,0.0,0.0555,0.0010239116172795384,0.00010698765263149263,1.0158555914581044,0.002751634720501924,2.4782386072709305e-06,0.05284951080584466,50000,2,Expected_Disc_Count,Type1,disc_0.35,21.875,
125,62,63,1.0,0.4,0.4,0.0,-0.0,0.0,0.0,0.05472,0.0010171108258198807,0.006376546303127412,1.0185742816923786,0.0031525333927283263,0.0003665821812596007,0.056729076148201586,50000,2,Expected_Disc_Count,Type1,disc_0.4,25.0,
125,62,63,1.0,0.45,0.45,0.0,-0.0,0.0,0.0,0.05488,0.0010185105360279783,0.0008240801318051141,1.0176860158031047,0.0035451075621150186,2.4897593445980503e-05,0.06002741735393319,50000,2,Expected_Disc_Count,Type1,disc_0.45,28.125,
125,62,63,1.0,0.5,0.5,0.0,-0.0,0.0,0.0,0.05558,0.0010246059105822102,-0.0006781190476214604,1.0210512692615081,0.003935966355860595,-6.166410650281607e-05,0.0635238560534221,50000,2,Expected_Disc_Count,Type1,disc_0.5,31.25,
150,75,75,1.0,0.25,0.25,0.0,-0.0,0.0,0.0,0.05486,0.0010183357049617773,-0.0022722182575590764,1.016405321559626,0.001645366897777778,-0.00010960000000000001,0.04094610535076024,50000,2,Expected_Disc_Count,Type1,disc_0.25,18.75,
150,75,75,1.0,0.3,0.3,0.0,-0.0,0.0,0.0,0.05314,0.0010031564224985054,0.0017416821653458352,1.0096050317456724,0.001975091982222222,8.346666666666667e-05,0.04457076433398417,50000,2,Expected_Disc_Count,Type1,disc_0.3,22.5,
150,75,75,1.0,0.35,0.35,0.0,-0.0,0.0,0.0,0.05472,0.0010171108258198807,-0.0013138402261941658,1.0138945918558164,0.002304047194074074,-6.213333333333333e-05,0.04832986338698305,50000,2,Expected_Disc_Count,Type1,disc_0.35,26.25,
150,75,75,1.0,0.4,0.4,0.0,-0.0,0.0,0.0,0.05222,0.0009949178016298633,-0.008992771510118699,1.0086649552482596,0.002631107745185185,-0.0004492000000000001,0.051388645497100496,50000,2,Expected_Disc_Count,Type1,disc_0.4,30.0,
150,75,75,1.0,0.45,0.45,0.0,-0.0,0.0,0.0,0.05316,0.0010033345842738602,0.003373410939019544,1.0106522505502902,0.0029587384414814814,0.0001694666666666667,0.0546186511992622,50000,2,Expected_Disc_Count,Type1,disc_0.45,33.75,
150,75,75,1.0,0.5,0.5,0.0,-0.0,0.0,0.0,0.05588,0.0010272042211751274,-0.009247249866725503,1.0140520967993802,0.0032923818429629625,-0.0005241333333333334,0.05779796186164353,50000,2,Expected_Disc_Count,Type1,disc_0.5,37.5,
175,88,87,1.0,0.25,0.25,0.0,-0.0,0.0,0.0,0.05556,0.0010244323930840922,-0.0017943668945473148,1.017600277468832,0.001412490079997795,-8.023641588296763e-05,0.038021763109714356,50000,2,Expected_Disc_Count,Type1,disc_0.25,21.875,
